,tractid,INCPC00,HINC00,MHMVAL00,MRENT00,percent_foreign_born,percent_naturalized,percent_recent_immigrants(10),percent_other_languages,percent_hs_degree_orless,percent_4yrcollege_degree_ormore,percent_married,percent_unemployed,percent_employed,percent_professional,percent_manufacturing,percent_self_employed,percent_poverty,percent_houses_30yrsago,percent_multiunit_houses,incpc12,hinc12,mhmval12,mrent12,pfb12,pnat12,p10imm12,polang12,phs12,pcol12,pmar12,punemp12,percent_employed12,pprof12,pmanuf12,psemp12,ppov12,p30old12,pmulti12,INCPC00_PC,HINC00_PC,MHMVAL00_PC,MRENT00_PC,percent_foreign_born_PC,percent_naturalized_PC,percent_recent_immigrants(10)_PC,percent_other_languages_PC,percent_hs_degree_orless_PC,percent_4yrcollege_degree_ormore_PC,percent_married_PC,percent_unemployed_PC,percent_employed_PC,percent_professional_PC,percent_manufacturing_PC,percent_self_employed_PC,percent_poverty_PC,percent_houses_30yrsago_PC,percent_multiunit_houses_PC,income_bracket
91,25025081300,11346.0,25762.8735,155600.0,328.0,28.53693867696765,8.836310960888461,13.254466441332688,50.55829654635161,71.58642462509866,11.325966850828733,32.138284250960304,13.291579679888654,86.70842032011134,23.996789727126806,5.377207062600322,4.49438202247191,30.484818805093045,69.66161026837807,92.6487747957993,15153,20637,279200,514,33.18000031,15.72000027,14.15999985,55.68000031,69.86000061,10.06000042,22.48999977,13.30000019,86.70438472418671,19.03000069,5.489999771,5.9800000189999984,34.61000061,63.77999878,86.05999756,33.55367530407192,-19.89635783446283,79.43444730077121,56.70731707317073,16.270356416260572,77.902298137541,6.8319114366120175,10.130293371242928,-2.4116639769900767,-11.177557267317075,-30.02115609414343,0.06335221481676366,-0.004654214561572724,-20.697722877123734,2.097607681582093,33.055000422749984,13.531921679710846,-8.443117329212741,-7.111564346448362,Bottom 25% (<37k)
92,25025081400,19581.0,45599.462999999996,188600.0,608.0,18.4964200477327,5.847255369928401,9.864757358790774,22.33134073441503,37.2093023255814,33.09481216457961,32.63473053892216,8.946608946608947,91.05339105339105,43.42313787638669,1.7432646592709984,9.270998415213946,17.5249500998004,75.06874427131072,85.70119156736939,34347,45978,374800,1085,9.350000381000001,6.71999979,1.179999948,13.57999992,20.86000061,52.66999817,19.76000023,9.350000381000001,91.75420168067228,57.00999832,2.400000095,3.210000038,22.15999985,80.69000244,88.25,75.40983606557377,0.8301347759292779,98.72746553552493,78.45394736842105,-49.44967535949677,14.92571069428571,-88.03822633358067,-39.188604564741865,-43.938748360625,59.14880528124323,-39.451008469541286,4.508875226338715,0.7696699916099549,31.28944868583941,37.67273272227275,-65.3758970260171,26.448290715831426,7.488147328498175,2.9740641711229867,Middle 50% (<63k and >37k)
93,25025081500,16235.0,39897.3141,212500.0,612.0,15.259348612786493,7.478890229191798,5.548854041013268,21.036007580543274,50.56876938986557,21.716649431230607,30.85106382978724,3.673469387755102,96.32653061224492,25.706214689265536,5.649717514124294,5.2259887005649714,14.433656957928802,86.76236044657097,82.61562998405104,17548,31786,278400,867,27.69000053,16.29999924,12.01000023,43.81999969,41.43999863,31.10000038,21.70000076,27.45000076,72.90379523389231,37.77000046,4.480000018999999,4.599999905,33.18000031,77.91000366,73.54000092,8.087465352633199,-20.33047658213162,31.01176470588236,41.66666666666667,81.46253311754941,117.94676403161287,116.44109110152176,108.3094880158258,-18.05219084824132,43.208096987904774,-29.662066502068964,647.250020688889,-24.31597528684907,46.92945233890109,-20.703999663700017,-11.978380196216214,129.87937434506725,-10.202992105110283,-10.985365681776068,Middle 50% (<63k and >37k)
94,25025081700,15382.0,34399.0395,158200.0,458.0,13.83664696399785,4.0032240730789885,7.334766254701773,18.918137113103846,61.80335296782964,13.230629814227454,25.80169553999263,9.42211055276382,90.57788944723616,25.936199722607487,4.0221914008321775,5.478502080443828,25.95710019006245,79.27868852459017,61.44262295081968,17028,22950,316100,389,8.539999962000001,4.690000057,1.50999999,27.11000061,46.54999924,14.43999958,19.55999947,23.14999962,76.85039370078741,26.12999916,1.129999995,1.5399999619999998,39.38000107,74.37999725,70.59999847,10.700819139253673,-33.283020882022015,99.81036662452593,-15.065502183406112,-38.27984493482717,17.155571893651008,-79.41311368945055,43.30163931004588,-24.680463106539587,9.140681757054805,-24.19103062555714,145.6986626336,-15.155459936439971,0.7472160126203194,-71.90586219327587,-71.89012727589873,51.71186604687239,-6.179077083333333,14.903946282550693,Bottom 25% (<37k)
95,25025081800,14216.0,31798.0593,155600.0,571.0,13.57067324638703,3.313359182234755,6.591469862530843,24.367816091954023,64.36384571099597,12.089810017271152,22.829581993569132,13.605947955390336,86.39405204460968,27.79690189328744,1.9793459552495696,3.528399311531841,26.76659528907923,91.725768321513,86.28841607565012,18542,40809,313700,843,26.09000015,11.06000042,8.930000305,33.38999939,46.70000076,22.95999908,25.86000061,9.909999847,90.09174311926607,22.73999977,3.1199998860000004,6.7899999620000004,33.43000031,90.43000031,83.26000214,30.4305008441193,28.338020930730195,101.60668380462722,47.63572679509633,92.25280630012988,233.80022544191488,35.47813296943851,37.024997496698106,-27.44373763853309,89.91199239028572,13.274087179014087,-27.16420877478142,4.280029686241691,-18.192322808854488,57.62782032747828,92.43853550839027,24.89448115815998,-1.4126543012113426,-3.5096413555616475,Bottom 25% (<37k)
96,25025081900,16081.0,47486.25,205000.0,580.0,14.913366336633663,6.157178217821782,6.25,20.475871313672922,55.52589428723972,18.41964762413241,33.16477033291193,15.07246376811594,84.92753623188406,29.26621160409557,4.010238907849828,8.276450511945393,12.235219728106227,83.42007434944237,71.15241635687731,19784,35432,262500,860,17.12999916,7.079999924,9.050000191,32.13999939,53.36999893,17.09000015,18.5,21.29999924,79.3296089385475,22.45000076,9.510000229,0.0,30.20999908,86.66999817,79.83999634,23.02717492693241,-25.38471662849772,28.04878048780488,48.27586206896552,14.863396857095443,14.987737459135685,44.800003056,56.96523433675941,-3.882684619336537,-7.218636866811592,-44.21791613723,41.31730265,-6.591416096249541,-23.290376411895036,137.1429844337872,-100.0,146.91014751948322,3.895853421256691,12.209817217659348,Middle 50% (<63k and >37k)
97,25025082000,14991.0,33325.2171,183500.0,570.0,17.498218104062722,7.020669992872416,6.9137562366357805,20.007636502481862,56.410256410256395,15.034965034965037,25.50143266475645,8.721422523285352,91.27857747671464,31.539888682745826,4.081632653061225,6.029684601113173,30.70866141732284,84.30717863105177,86.5609348914858,25408,43375,336200,769,15.39000034,10.43999958,5.929999828,17.90999985,55.70999908,20.14999962,22.96999931,14.97999954,85.91639871382637,34.27999878,6.139999866,3.069999933,29.42000008,96.91000366,86.34999847,69.48835968247616,30.156691462334084,83.21525885558583,34.912280701754376,-12.048185429653769,48.70375036284265,-14.228971559958769,-10.484180139026721,-1.2413652672727196,34.020927705116264,-9.926631919213486,71.76096559941746,-5.874520518526025,8.687760837764705,50.429996717,-49.0852318804,-4.196409995897429,14.948697410574255,-0.2436854705303785,Bottom 25% (<37k)
98,25025082100,10978.0,23516.4573,210600.0,410.0,23.78263937896965,11.126793695601037,5.7868736767819335,33.764553686934015,69.36223426427678,6.961233847436433,24.54814327965823,8.451704545454545,91.54829545454544,21.799844840961985,3.95655546935609,1.4740108611326608,32.7208480565371,89.59835221421216,96.60144181256436,17286,20125,408200,407,26.82999992,13.52999973,10.47000027,54.45000076,57.70000076,16.84000015,15.19999981,21.97999954,80.30534351145037,30.73999977,1.3899999859999999,1.330000043,41.59999847,93.26000214,91.83000183,57.460375296046635,-14.421633568079994,93.82716049382715,-0.7317073170731708,12.813382452937677,21.598369666448196,80.92671198280487,61.26379535432951,-16.813520538918265,141.9111398793413,-38.08085753436412,160.06587691025214,-12.280897079812155,41.010176880889695,-64.86843172639216,-9.769997082789473,27.13606443855293,4.0867380206206825,-4.939305141865664,Bottom 25% (<37k)
99,25025090100,13667.0,37604.0448,217300.0,504.0,16.782911944202265,8.587619877942457,4.925893635571055,26.239620403321467,59.42923254917085,14.346317007327421,28.04612028669368,8.260196179659268,91.73980382034071,27.29319077096229,7.203151378728192,2.6449071468767587,19.575213488066566,93.67231638418079,94.63276836158191,17977,33333,365600,795,32.45999908,15.90999985,12.13000011,37.20000076,60.61999893,13.22000027,19.98999977,23.20999908,76.78708685626441,19.37000084,1.4500000480000002,2.799999952,20.95999908,87.19999695,88.76999664,31.53581619960489,-11.357939877786755,68.24666359871145,57.73809523809523,93.41100750524679,85.26669876091371,146.2497367463717,41.77034647685353,2.0036711391888464,-7.850912096478492,-28.724545264522227,180.98605136224998,-16.299050511770314,-29.02991444808248,-79.869921208625,5.863827972425524,7.0741787453691325,-6.909532809710492,-6.195287132656717,Middle 50% (<63k and >37k)
100,25025090200,11930.0,29745.387,195800.0,403.0,22.064777327935214,7.135627530364372,7.995951417004049,32.88288288288288,61.002785515320326,13.463324048282265,26.66151468315301,6.847360912981455,93.15263908701854,26.799387442572737,7.044410413476263,1.3782542113323124,33.704453441295556,74.2522756827048,96.4889466840052,14003,20942,426600,433,38.04000092,14.51000023,24.37999916,49.52000046,62.91999817,16.05999947,23.76000023,28.10000038,71.89716312056738,21.57999992,7.150000095,9.119999886,39.18000031,56.13999939,97.77999878,17.37636211232188,-29.59580589756657,117.87538304392237,7.4441687344913126,72.40147205944953,103.34581882609928,204.90429329215192,50.595069892054795,3.1428280503652966,19.28703054613794,-10.882781746028996,310.37708888291667,-22.81789992723165,-19.475771727085718,1.4989143920652257,561.7066583953333,16.24576668552551,-24.392890488774075,1.338031080619948,Bottom 25% (<37k)
