,tractid,state,county,tract,pop10,nhwht10,nhblk10,ntv10,asian10,hisp10,haw10,india10,china10,filip10,japan10,korea10,viet10,mex10,pr10,cuban10,family10,fhh10,hu10,vac10,ohu10,own10,rent10,a18und10,a60up10,a75up10,agewht10,a15wht10,a60wht10,ageblk10,a15blk10,a60blk10,agehsp10,a15hsp10,a60hsp10,ageasn10,a15asn10,a60asn10,agentv10,a15ntv10,a60ntv10,GlobD10,GlobG10,percent_white10,percent_black10,percent_asian10,percent_hispanic10,percent_indian10,percent_chinese10,percent_filip10,percent_japan10,percent_korean10,percent_viet10,percent_mex10,percent_pr10,percent_cuban10,percent_vacant_housing10,percent_occupied_housing10,percent_under18_10,percent_60andup_10,percent_75andup_10,percent_owneroccupied_10,percent_renteroccupied_10,non-white10,incpc12,hinc12,mhmval12,mrent12,pfb12,pnat12,p10imm12,polang12,phs12,pcol12,pmar12,punemp12,percent_employed12,pprof12,pmanuf12,psemp12,ppov12,p30old12,pmulti12,year
0,25025000100,MA,Suffolk County,Census Tract 1,4254,2508,288,16,524,621,0,38,284,16,18,38,49,44,91,11,698,100,1707,91,1616,408,1208,579,481,182,2508,179,369,249,57,16,621,144,24,468,55,60,3,0,0,wbha,Global,58.95627644569817,6.770098730606486,12.317818523742359,14.59802538787024,0.8932769158439117,6.676069581570287,0.3761165961448049,0.4231311706629055,0.8932769158439117,1.151857075693465,1.0343206393982134,2.1391631405735776,0.2585801598495533,5.330990041007616,94.6690099589924,13.610719322990127,11.307005171603198,4.278326281147154,23.90158172231986,70.76742823667253,47.90785143394452,27564,53571,348200,1348,29.03000069,15.30000019,9.479999542,38.45000076,54.93999863,30.78000069,27.69000053,6.059999942999999,94.38053097345131,22.5,7.829999924,7.130000114,14.65999985,94.52999878,78.63999939,2010-01-01
1,25025000201,MA,Suffolk County,Census Tract 2.01,3854,2728,275,13,352,407,0,42,198,22,15,22,14,18,52,23,571,71,1618,77,1541,447,1094,439,383,137,2728,151,293,244,64,13,407,121,32,324,44,41,5,1,1,wbha,Global,70.7836014530358,7.135443694862482,9.133367929423978,10.560456668396473,1.0897768552153606,5.137519460300986,0.5708354955889985,0.3892060197197717,0.5708354955889985,0.3632589517384536,0.467047223663726,1.3492475350285418,0.5967825635703166,4.7589616810877615,95.24103831891225,11.390762843798651,9.937727036844837,3.554748313440581,27.626699629171814,67.61433868974042,37.70108977685522,38128,65506,532000,1405,25.12999916,14.55000019,7.070000172,29.03000069,32.29000092,53.31999969,27.05999947,1.889999986,98.40403191936159,45.75,5.9800000189999984,8.020000458,10.13000011,95.98000336,83.27999878,2010-01-01
2,25025000202,MA,Suffolk County,Census Tract 2.02,3885,2370,289,16,549,596,0,42,346,13,4,18,69,23,122,19,711,149,1522,42,1480,474,1006,656,478,179,2370,200,339,273,74,25,596,197,28,525,82,79,12,4,1,wbha,Global,61.003861003861005,7.4388674388674385,14.13127413127413,15.341055341055341,1.0810810810810811,8.906048906048905,0.33462033462033464,0.10296010296010297,0.4633204633204634,1.776061776061776,0.592020592020592,3.1402831402831404,0.489060489060489,2.759526938239159,97.24047306176085,16.885456885456883,12.303732303732305,4.607464607464609,31.143232588699078,66.09724047306176,54.208494208494216,29292,54607,432800,1299,36.24000168,17.65999985,12.22999954,41.50999832,32.81999969,43.11999893,33.09000015,9.600000381000001,91.2850812407681,45.95000076,1.620000005,8.850000381000001,18.20000076,96.26000214,78.56999969,2010-01-01
3,25025000301,MA,Suffolk County,Census Tract 3.01,2740,2050,161,4,307,190,0,37,212,9,6,24,7,13,26,7,463,37,1219,60,1159,476,683,273,418,169,2050,134,335,124,15,24,190,31,23,295,41,30,0,0,0,wba,Semi global,74.81751824817519,5.875912408759124,11.204379562043798,6.934306569343065,1.3503649635036497,7.737226277372263,0.3284671532846715,0.21897810218978106,0.8759124087591241,0.2554744525547445,0.4744525547445255,0.9489051094890509,0.2554744525547445,4.9220672682526665,95.07793273174734,9.963503649635037,15.255474452554743,6.1678832116788325,39.048400328137824,56.02953240360952,36.605839416058394,41955,89688,409700,1469,15.19999981,6.099999905,6.099999905,19.82999992,26.52000046,61.36999893,34.97000122,4.360000134,97.35064935064936,63.81999969,5.920000076,7.739999771,8.989999771,93.97000122,76.58999634,2010-01-01
4,25025000302,MA,Suffolk County,Census Tract 3.02,3142,2295,103,4,480,229,0,51,322,14,20,38,9,30,19,7,545,29,1346,70,1276,631,645,310,490,164,2295,142,410,89,14,6,229,25,8,449,47,63,2,1,0,wa,Single immig,73.0426479949077,3.2781667727562063,15.276893698281349,7.288351368555062,1.6231699554423933,10.248249522597073,0.4455760661998727,0.6365372374283895,1.2094207511139399,0.2864417568427753,0.9548058561425844,0.6047103755569699,0.22278803309993636,5.200594353640416,94.7994056463596,9.866327180140038,15.595162316995545,5.219605346912794,46.879643387815754,47.91976225854384,42.20241884150223,35219,69438,322200,1436,34.49000168,13.92000008,17.89999962,42.18000031,31.45999908,56.75999832,33.61999893,3.019999981,97.38996929375641,56.02000046,5.46999979,2.680000067,16.73999977,94.81999969,75.01999664,2010-01-01
5,25025000401,MA,Suffolk County,Census Tract 4.01,5672,4089,155,11,1091,287,1,107,743,20,36,80,36,36,35,11,834,32,2965,88,2877,496,2381,404,1339,790,4089,234,900,132,5,24,287,37,16,1033,71,390,2,0,0,wa,Single immig,72.09097320169252,2.7327221438645983,19.234837799717916,5.059943582510578,1.8864598025387869,13.099435825105786,0.3526093088857546,0.6346967559943583,1.4104372355430184,0.6346967559943583,0.6346967559943583,0.6170662905500706,0.19393511988716505,2.9679595278246205,97.03204047217537,7.122708039492243,23.60719322990127,13.928067700987306,16.728499156829677,80.30354131534571,46.703102961918205,26723,35050,404500,1237,37.45000076,22.88999939,17.07999992,43.88000107,27.03000069,59.49000168,26.27000046,4.0,95.9970887918486,63.0,4.25,6.559999942999999,22.82999992,91.52999878,93.22000122,2010-01-01
6,25025000402,MA,Suffolk County,Census Tract 4.02,3648,2734,82,4,600,189,0,47,374,20,10,50,28,27,26,10,473,22,1543,82,1461,480,981,366,371,114,2734,255,251,69,0,8,189,21,8,545,55,98,0,0,0,wa,Single immig,74.9451754385965,2.24780701754386,16.44736842105263,5.180921052631579,1.288377192982456,10.25219298245614,0.5482456140350878,0.2741228070175439,1.3706140350877194,0.7675438596491229,0.7401315789473685,0.7127192982456141,0.2741228070175439,5.314322747893714,94.68567725210629,10.032894736842103,10.169956140350877,3.125,31.108230719377843,63.57744653272845,40.213815789473685,29131,57064,442800,1494,18.28000069,8.569999695,6.539999962,21.29999924,24.43000031,60.33000183,26.65999985,6.820000172,93.69202226345085,66.73000336,4.309999943,6.239999771,20.98999977,94.16000366,81.73999786,2010-01-01
7,25025000502,MA,Suffolk County,Census Tract 5.02,6303,4719,309,27,779,446,0,104,284,47,49,213,23,104,69,69,391,7,2041,169,1872,359,1513,85,400,170,4719,52,362,268,1,8,446,4,14,706,15,13,6,0,0,wba,Semi global,74.86910994764399,4.902427415516421,12.359194034586706,7.07599555767095,1.6500079327304458,4.5057908932254485,0.7456766619070284,0.7774075836903062,3.3793431699190863,0.3649056005076948,1.6500079327304458,1.094716801523084,1.094716801523084,8.280254777070066,91.71974522292992,1.3485641757893068,6.346184356655562,2.697128351578613,17.589416952474274,74.13032827045565,40.02855782960496,21055,43064,322800,1420,13.85999966,5.5199999810000016,10.25,20.76000023,18.32999992,71.88999939,12.67000008,6.489999771,93.78357636224098,58.72000122,2.369999886,6.829999924,33.25,91.43000031,98.77999878,2010-01-01
8,25025000503,MA,Suffolk County,Census Tract 5.03,2211,1739,64,8,293,96,0,53,122,17,21,48,3,18,18,1,246,10,1408,67,1341,348,993,54,188,84,1739,29,156,55,0,10,96,4,1,264,15,17,2,0,0,wa,Single immig,78.6521935775667,2.8946178199909545,13.25192220714609,4.341926729986431,2.397105382180009,5.517865219357756,0.7688828584350973,0.949796472184532,2.170963364993216,0.13568521031207598,0.8141112618724559,0.8141112618724559,0.04522840343735866,4.758522727272728,95.24147727272728,2.442333785617368,8.502939846223429,3.799185888738128,24.71590909090909,70.52556818181819,34.4640434192673,37921,56349,241700,1476,18.82999992,11.14000034,6.940000057000001,21.69000053,6.2699999810000016,86.16000366,22.45000076,5.889999866,95.89403973509934,66.91999817,0.970000029,9.880000114,21.79000092,92.66000366,97.95999908,2010-01-01
9,25025000504,MA,Suffolk County,Census Tract 5.04,4985,3862,200,12,577,318,0,91,330,38,21,54,14,46,67,22,534,17,2726,89,2637,518,2119,160,914,542,3862,75,752,168,5,32,318,21,40,540,35,82,4,0,0,wa,Single immig,77.47241725175526,4.012036108324976,11.574724172517552,6.37913741223671,1.825476429287864,6.619859578736207,0.7622868605817452,0.4212637913741224,1.0832497492477433,0.28084252758274825,0.9227683049147444,1.3440320962888666,0.4413239719157472,3.2648569332355097,96.73514306676451,3.20962888665998,18.335005015045134,10.872617853560682,19.002201027146,77.73294203961851,35.907723169508536,30471,36339,316400,1371,28.5,12.18999958,14.02000046,29.82999992,18.34000015,68.0,16.85000038,4.25,96.49540660088465,62.86999893,1.970000029,4.829999924,27.92000008,79.93000031,98.97000122,2010-01-01
